product_id,category,product_name,price
52,Books,Atomic Habits,1200
53,Books,The Ride of a Lifetime by Bob Iger,1800
54,Electronics,HP Omen 17 Gaming Laptop,250000
55,Clothing,Adidas Superstar Sneakers,18000
56,Electronics,Sony ZV-1 Vlogging Camera,135000
57,Books,Range: Why Generalists Triumph in a Specialized World,2000
58,Beauty,Clinique Moisturizer,6000
59,Sports,Spalding TF-1000 Legacy Basketball,8000
60,Home & Kitchen,Samsung Smart Counter-Depth Refrigerator,275000
61,Beauty,Clinique Moisture Surge Hydrator,7000
62,Books,Limitless by Jim Kwik,2100
63,Books,The Daily Stoic by Ryan Holiday,1900
64,Beauty,Laneige Lip Sleeping Mask,3500
65,Books,The Art of Happiness by Dalai Lama,1900
66,Beauty,Dermalogica Daily Microfoliant,7500
67,Sports,Under Armour Project Rock Training Shoes,25000
68,Books,Blue Ocean Strategy,2500
69,Clothing,Patagonia Fleece Jacket,20000
70,Electronics,Razer BlackShark V2 Pro Headset,28000
71,Electronics,MSI MPG Z690 Carbon WiFi Motherboard,55000
72,Books,Deep Work by Cal Newport,1900
73,Electronics,Dell Alienware m15,220000
74,Electronics,Corsair iCUE 7000X RGB Full-Tower Case,65000
75,Beauty,The Ordinary Niacinamide 10% Serum,4500
76,Electronics,Razer Naga Pro Gaming Mouse,25000
77,Electronics,Samsung Odyssey G9 Gaming Monitor,175000
78,Electronics,Apple Watch Ultra,150000
79,Home & Kitchen,Dyson Cordless Vacuum Cleaner,85000
80,Clothing,Hugo Boss Slim Fit Suit,125000
81,Electronics,HyperX Cloud II Gaming Headset,18000
82,Home & Kitchen,Panasonic 32L Convection Microwave,60000
83,Clothing,Timberland Hiking Boots,22000
84,Beauty,Bobbi Brown Luxe Lipstick,7500
85,Sports,Nike Pro Combat Compression Leggings,10000
86,Sports,Bowflex SelectTech Adjustable Kettlebell,55000
87,Books,The Courage to Be Disliked by Ichiro Kishimi,2300
88,Electronics,Samsung Odyssey G9 Gaming Monitor,175000
89,Clothing,Reebok CrossFit Training Shoes,18000
90,Books,The Lean Startup by Eric Ries,2300
91,Beauty,Chanel Le Rouge Duo Ultra Wear Lip Color,8500
92,Sports,Everlast MMA Gloves,12000
93,Electronics,Garmin Fenix 7 Smartwatch,95000
94,Beauty,Huda Beauty Faux Filter Concealer,6000
95,Clothing,Balenciaga Oversized T-shirt,40000
96,Sports,Salomon Speedcross 6 Trail Shoes,26000
97,Books,Deep Work by Cal Newport,1900
98,Books,Grit by Angela Duckworth,1800
99,Electronics,LG Dual Inverter Split AC,180000
100,Sports,Bowflex Adjustable Dumbbells,45000
101,Sports,Nike Pro Combat Compression Leggings,10000
102,Clothing,Fossil Leather Jacket,25000
103,Clothing,Adidas Terrex Free Hiker Shoes,22000
104,Beauty,Bobbi Brown Luxe Lipstick,7500
105,Books,The War of Art by Steven Pressfield,1600
106,Clothing,Adidas Terrex Swift R3 Hiking Shoes,25000
107,Home & Kitchen,Bosch Serie 4 Dishwasher,140000
108,Home & Kitchen,Prestige Induction Cooktop,18000
109,Electronics,Sony WF-1000XM5 Wireless Earbuds,45000
110,Clothing,Puma Future Rider Sneakers,12000
111,Beauty,Shiseido Wrinkle Smoothing Cream,7500
112,Home & Kitchen,Whirlpool Smart Washing Machine,155000
113,Clothing,Gucci Wool Beanie,30000
114,Beauty,Fenty Beauty Pro Filt’r Soft Matte Foundation,7500
115,Clothing,Zara Formal Blazer,15000
116,Beauty,Tom Ford Traceless Soft Matte Foundation,9500
117,Electronics,Beats Fit Pro True Wireless Earbuds,38000
118,Books,No Rules Rules by Reed Hastings,2600
119,Clothing,Adidas X Speedflow Soccer Cleats,18000
120,Clothing,Adidas Terrex Swift R3 Hiking Shoes,25000
121,Electronics,ASUS ROG Phone 7,165000
122,Sports,Everlast MMA Sparring Gloves,12000
123,Home & Kitchen,LG Smart TV 55 Inch OLED,180000
124,Sports,Yonex Arcsaber 11 Pro Badminton Racket,28000
125,Clothing,Columbia Hiking Jacket,18000
126,Electronics,LG Gram 16 Ultrabook,220000
127,Home & Kitchen,Siemens Induction Cooktop,130000
128,Home & Kitchen,Morphy Richards Coffee Grinder,18000
129,Sports,Trek FX 3 Hybrid Bicycle,160000
130,Beauty,Kosas Tinted Face Oil,4800
131,Beauty,Farsali Rose Gold Elixir,6000
132,Beauty,Charlotte Tilbury Airbrush Flawless Foundation,8500
133,Clothing,Armani Exchange Cotton Sweater,15000
134,Beauty,Dermalogica Daily Microfoliant,7500
135,Clothing,Puma Future Rider Sneakers,12000
136,Clothing,Supreme Logo Beanie,10000
137,Beauty,Chanel Chance Eau Tendre Perfume,19000
138,Home & Kitchen,Morphy Richards Coffee Grinder,18000
139,Beauty,Chanel Rouge Allure Velvet Lipstick,7500
140,Sports,Adidas Predator Accuracy+ Soccer Cleats,22000
141,Books,The Ride of a Lifetime by Bob Iger,1800
142,Sports,Nike LeBron 20 Basketball Shoes,32000
143,Electronics,DJI FPV Drone,185000
144,Clothing,Gucci Ace Embroidered Sneakers,115000
145,Clothing,Levi’s 511 Slim Fit Jeans,12000
146,Sports,Nike Vaporfly Running Shoes,35000
147,Clothing,Reebok Sports Bra,5000
148,Sports,Salomon Trail Running Shoes,20000
149,Sports,Decathlon 4-Person Camping Tent,42000
150,Sports,Giant Defy Advanced 2 Road Bike,260000
151,Beauty,Tatcha The Silk Canvas Primer,7500
152,Beauty,Fenty Beauty Highlighter,4200
153,Sports,Bowflex SelectTech Adjustable Kettlebell,55000
154,Electronics,Lenovo ThinkPad X1,180000
155,Beauty,Tatcha The Essence,15000
156,Beauty,La Mer The Moisturizing Soft Cream,25000
157,Sports,Decathlon Quechua 2-Person Camping Tent,40000
158,Books,The Richest Man in Babylon,1500
159,Sports,Decathlon Road Bike,140000
160,Sports,Nike Vaporfly Running Shoes,35000
161,Books,The 48 Laws of Power by Robert Greene,2300
162,Sports,Yonex Astrox 100 ZZ Badminton Racket,29000
163,Home & Kitchen,Morphy Richards Digital Microwave Oven,35000
164,Clothing,New Balance 327 Running Shoes,15000
165,Electronics,Logitech MX Keys Advanced Wireless Keyboard,25000
166,Beauty,La Roche-Posay Vitamin C Serum,5000
167,Beauty,Giorgio Armani Luminous Silk Foundation,9000
168,Books,The Lean Startup by Eric Ries,2600
169,Sports,Bowflex SelectTech Adjustable Dumbbells,60000
170,Books,Outliers by Malcolm Gladwell,1700
171,Beauty,Guerlain Meteorites Powder,8000
172,Sports,Under Armour UA Rival Fleece Joggers,13000
173,Electronics,Dell XPS 17 Laptop,280000
174,Clothing,The North Face Futurelight Jacket,40000
175,Clothing,Moncler Maya Down Jacket,120000
176,Beauty,La Roche-Posay Vitamin C Serum,5000
177,Beauty,Neutrogena Sunscreen,3000
178,Books,Rich Dad Poor Dad,900
179,Books,Principles by Ray Dalio,2600
180,Electronics,Google Pixel Buds Pro,35000
181,Clothing,Nike Dri-FIT T-shirt,4000
182,Sports,Callaway Golf Club Set,75000
183,Books,The Infinite Game by Simon Sinek,2400
184,Home & Kitchen,Philips Air Purifier 3000i,55000
185,Books,The Courage to Be Disliked by Ichiro Kishimi,2300
186,Sports,Nike ZoomX Vaporfly NEXT% 2 Running Shoes,42000
187,Sports,Decathlon Rockrider ST 520 Mountain Bike,140000
188,Books,How Will You Measure Your Life?,2200
189,Electronics,Apple iPad Pro 12.9-inch (M2),180000
190,Beauty,Chanel Coco Mademoiselle Perfume,18000
191,Books,The 10X Rule by Grant Cardone,2500
192,Home & Kitchen,Siemens IQ500 Built-in Microwave,180000
193,Electronics,Corsair iCUE 7000X RGB Full-Tower Case,65000
194,Books,The Lean Startup by Eric Ries,2300
195,Books,The Millionaire Fastlane by MJ DeMarco,2700
196,Beauty,Jo Malone London Wood Sage & Sea Salt Cologne,20000
197,Beauty,Tom Ford Oud Wood Perfume,18000
198,Clothing,Moncler Maya Down Jacket,120000
199,Home & Kitchen,Xiaomi Mi Robot Vacuum Mop,60000
200,Sports,Adidas Predator Edge Soccer Cleats,22000
201,Home & Kitchen,Siemens IQ500 Built-in Microwave,180000
202,Electronics,Bose Smart Soundbar 900,85000
203,Books,The Millionaire Fastlane by MJ DeMarco,2700
204,Beauty,Urban Decay Naked Eyeshadow Palette,6000
205,Clothing,Nike Tech Fleece Hoodie,18000
206,Electronics,HP Spectre x360 Convertible Laptop,210000
207,Home & Kitchen,Butterfly Mixer Grinder,8000
208,Beauty,L’Oreal Foundation,2500
209,Sports,Garmin Edge 530 Cycling Computer,45000
210,Clothing,Armani Exchange Cotton Sweater,15000
211,Clothing,Balenciaga Oversized Hoodie,75000
212,Electronics,Amazon Kindle Paperwhite,18000
213,Books,Becoming by Michelle Obama,1700
214,Clothing,Levi’s Denim Jacket,8000
215,Sports,Nike Alphafly 2 Marathon Running Shoes,45000
216,Books,Why We Sleep by Matthew Walker,2300
217,Home & Kitchen,Whirlpool Front Load Washing Machine,135000
218,Beauty,Giorgio Armani Si Perfume,16500
219,Clothing,Patagonia Synchilla Fleece Pullover,28000
220,Sports,Salomon Trail Running Shoes,20000
221,Clothing,Levi’s 511 Slim Fit Jeans,12000
222,Home & Kitchen,Morphy Richards Electric Kettle,15000
223,Sports,Yonex Voltric Z-Force II Badminton Racket,20000
224,Clothing,Patagonia Retro Fleece,25000
225,Home & Kitchen,Ninja Foodi Dual Basket Air Fryer,50000
226,Sports,Giant Defy Advanced 2 Road Bike,260000
227,Home & Kitchen,Tefal Non-Stick 10-Piece Cookware Set,25000
228,Beauty,Kosas Tinted Face Oil,4800
229,Sports,Garmin Forerunner 965 Smartwatch,90000
230,Electronics,Google Pixel 7 Pro,135000
231,Beauty,Huda Beauty Power Bullet Matte Lipstick,6000
232,Beauty,Yves Rocher Anti-Aging Cream,5500
233,Electronics,Corsair iCUE 7000X RGB Full-Tower Case,65000
234,Home & Kitchen,Philips Air Fryer,18000
235,Beauty,Neutrogena Sunscreen,3000
236,Clothing,Burberry Vintage Check Shirt,75000
237,Books,The Power of One More by Ed Mylett,2000
238,Clothing,Reebok CrossFit Training Shoes,18000
239,Books,The Millionaire Fastlane by MJ DeMarco,2700
240,Beauty,Dior Sauvage Eau de Parfum,18000
241,Clothing,Hugo Boss Slim Fit Suit,125000
242,Beauty,YSL Rouge Pur Couture Lipstick,6500
243,Books,The Lean Startup by Eric Ries,2300
244,Electronics,Razer Huntsman Mini Gaming Keyboard,25000
245,Electronics,HP Omen 17 Gaming Laptop,250000
246,Books,The Richest Man in Babylon,1500
247,Clothing,Balmain Graphic T-shirt,48000
248,Electronics,Dell XPS 13,185000
249,Sports,Puma Future Ultimate Football Boots,18000
250,Home & Kitchen,Philips Air Fryer,18000
251,Electronics,Asus ROG Strix G15,210000
252,Beauty,Rare Beauty Soft Pinch Liquid Blush,5000
253,Beauty,Tom Ford Soleil Blanc Perfume,18000
254,Sports,Everlast MMA Sparring Gloves,12000
255,Clothing,Arc’teryx Atom LT Hoodie,35000
256,Beauty,Dr. Dennis Gross Alpha Beta Peel,9000
257,Clothing,Balenciaga Runner Sneakers,125000
258,Clothing,Gucci Signature Leather Belt,45000
259,Electronics,Google Nest WiFi Pro Router,50000
260,Clothing,Gucci GG Canvas Backpack,175000
261,Sports,Giant Trance X Advanced Mountain Bike,320000
262,Sports,Puma Future Ultimate Football Boots,18000
263,Books,Rich Dad Poor Dad,900
264,Sports,Trek FX 3 Hybrid Bicycle,160000
302,Home & Kitchen,Philips Smart LED Bulbs,5000
303,Beauty,Fenty Beauty Pro Filt’r Soft Matte Foundation,7500
304,Electronics,Sony Bravia 65-inch OLED TV,280000
305,Sports,Everlast Powerlock 2 Boxing Gloves,18000
265,Home & Kitchen,Nespresso Vertuo Coffee Machine,50000
266,Home & Kitchen,Bosch Hand Blender,10000
267,Electronics,HP Omen 17 Gaming Laptop,250000
268,Home & Kitchen,Philips Air Purifier 3000i,55000
269,Sports,Callaway Rogue ST Max Golf Driver,90000
270,Clothing,Burberry Classic Checked Scarf,40000
271,Clothing,Burberry Silk Scarf,25000
272,Books,The Alchemist,1000
273,Electronics,HyperX Pulsefire Haste Wireless Mouse,15000
274,Clothing,Gucci Ace Embroidered Sneakers,115000
275,Electronics,Raspberry Pi 4 Model B,12000
276,Clothing,Burberry Silk Scarf,25000
277,Beauty,The Ordinary Hyaluronic Acid 2% + B5,3500
278,Books,The Four Agreements,1300
279,Books,Can’t Hurt Me by David Goggins,2700
280,Home & Kitchen,Philips Avance Digital Air Fryer,50000
281,Electronics,LG Dual Inverter Split AC,180000
282,Electronics,LG Gram 16 Ultrabook,220000
283,Books,The Infinite Game by Simon Sinek,2400
284,Beauty,Glossier Milky Jelly Cleanser,4500
285,Clothing,Moncler Down Jacket,90000
286,Electronics,Canon 80D,110000
287,Clothing,Moncler Down Jacket,90000
288,Sports,Bowflex SelectTech Adjustable Dumbbells,60000
289,Clothing,Supreme Logo Beanie,10000
290,Sports,Title Boxing Heavy Bag,28000
291,Sports,Reebok Gym Dumbbell Set,25000
292,Sports,Yonex Nanoflare 800 Badminton Racket,26000
293,Beauty,YSL Rouge Pur Couture Lipstick,6500
294,Beauty,Urban Decay Naked Eyeshadow Palette,6000
295,Beauty,Rare Beauty Soft Pinch Liquid Blush,5000
296,Clothing,Bape Shark Hoodie,22000
297,Clothing,Arc’teryx Atom LT Hoodie,35000
298,Clothing,Nike Air Jordan 4 Retro,45000
299,Books,Think Like a Monk by Jay Shetty,2000
300,Books,The Daily Stoic by Ryan Holiday,2000
301,Home & Kitchen,Bosch Hand Blender 750W,10000
302,Home & Kitchen,Philips Smart LED Bulbs,5000
303,Beauty,Fenty Beauty Pro Filt’r Soft Matte Foundation,7500
304,Electronics,Sony Bravia 65-inch OLED TV,280000
305,Sports,Everlast Powerlock 2 Boxing Gloves,18000
306,Home & Kitchen,Sharp Rice Cooker,5000
307,Clothing,Reebok Sports Bra,5000
308,Sports,Titleist Pro V1 Golf Balls (12-Pack),10000
309,Clothing,Tommy Hilfiger Bomber Jacket,32000
310,Clothing,Columbia Waterproof Hiking Pants,14000
311,Clothing,Hugo Boss Formal Shirt,12000
312,Sports,Everlast Powerlock Pro Boxing Gloves,14000
313,Home & Kitchen,Dyson Airwrap Complete,120000
314,Beauty,Tatcha The Dewy Skin Cream,9000
315,Books,The 10X Rule by Grant Cardone,2500
316,Beauty,Rare Beauty Soft Pinch Liquid Blush,5000
317,Books,Outliers by Malcolm Gladwell,1700
318,Books,The Ride of a Lifetime by Bob Iger,1800
319,Home & Kitchen,Xiaomi Smart Air Purifier,50000
320,Electronics,Dell Alienware m15,220000
321,Home & Kitchen,LG Double Door Refrigerator,120000
322,Home & Kitchen,Tefal Non-Stick Cookware Set,12000
323,Books,Meditations by Marcus Aurelius,1600
324,Books,Principles by Ray Dalio,2600
325,Beauty,Laneige Lip Sleeping Mask,3500
326,Electronics,HP Omen 17 Gaming Laptop,250000
327,Home & Kitchen,Eureka Forbes Smart Water Purifier,70000
328,Home & Kitchen,Siemens Induction Cooktop,130000
329,Beauty,Tatcha The Silk Peony Eye Cream,10000
330,Books,Principles by Ray Dalio,2600
331,Electronics,Samsung Neo QLED 75-inch 8K Smart TV,750000
332,Clothing,The North Face Himalayan Down Parka,60000
333,Beauty,Guerlain Meteorites Powder,8000
334,Books,Meditations by Marcus Aurelius,1600
335,Sports,Nike ZoomX Vaporfly NEXT% 2 Running Shoes,42000
336,Clothing,Adidas X Speedflow Soccer Cleats,18000
337,Home & Kitchen,Eureka Forbes Smart Water Purifier,70000
338,Home & Kitchen,Bosch Dishwasher,95000
339,Electronics,Sony A90J OLED TV 65-inch,420000
340,Home & Kitchen,LG InstaView Door-in-Door Refrigerator,250000
341,Sports,Nike Mercurial Vapor Elite Soccer Cleats,35000
342,Clothing,Diesel Leather Belt,11000
343,Books,No Rules Rules: Netflix and the Culture of Reinvention,2100
344,Clothing,Ralph Lauren Classic Polo Shirt,14000
345,Home & Kitchen,Prestige Induction Cooktop,18000
346,Home & Kitchen,Samsung Side-by-Side Refrigerator,145000
347,Electronics,Amazon Echo Show 10,40000
348,Electronics,Beats Fit Pro True Wireless Earbuds,38000
349,Beauty,Tarte Shape Tape Concealer,3500
350,Beauty,Estee Lauder Night Repair Serum,12000
351,Beauty,The Body Shop Face Wash,2200
352,Books,No Rules Rules by Reed Hastings,2600
353,Books,The Lean Startup by Eric Ries,2300
354,Clothing,Columbia Omni-Heat Insulated Jacket,28000
355,Beauty,Maybelline Lipstick,1500
356,Electronics,Samsung Frame QLED 55-inch TV,210000
357,Books,How to Win Friends and Influence People,1600
358,Clothing,Nike Air Force 1 Sneakers,15000
359,Beauty,YSL Libre Intense Perfume,18000
360,Home & Kitchen,Panasonic 27L Inverter Microwave Oven,70000
361,Beauty,Yves Rocher Anti-Aging Cream,5500
362,Clothing,Under Armour ColdGear Compression Leggings,14000
363,Books,No Rules Rules: Netflix and the Culture of Reinvention,2100
364,Sports,Speedo Training Kickboard,5000
365,Books,Ikigai: The Japanese Secret to a Long Life,1800
366,Books,Laws of Human Nature by Robert Greene,2400
367,Electronics,Beats Fit Pro True Wireless Earbuds,38000
368,Beauty,Drunk Elephant B-Hydra Serum,9000
369,Clothing,Arc’teryx Atom LT Hoodie,35000
370,Clothing,Fossil Leather Jacket,25000
371,Beauty,The Ordinary AHA 30% + BHA 2% Peeling Solution,3500
372,Books,Hooked: How to Build Habit-Forming Products,2000
373,Clothing,H&M Cotton Shirt,3500
374,Books,Rich Dad Poor Dad,900
375,Beauty,Fenty Beauty Gloss Bomb Lip Luminizer,5000
376,Home & Kitchen,Elica Auto Clean Chimney,75000
377,Sports,Wilson Pro Staff RF97 Tennis Racket,45000
378,Books,The Mountain Is You by Brianna Wiest,1800
379,Clothing,The North Face Puffer Jacket,32000
380,Clothing,Reebok Nano X3 Training Shoes,17000
381,Beauty,Huda Beauty Power Bullet Matte Lipstick,6000
382,Clothing,Lululemon Yoga Leggings,13000
383,Home & Kitchen,Samsung Microwave Oven,25000
384,Sports,Speedo Swimming Goggles,3000
385,Home & Kitchen,LG Smart TV 55 Inch OLED,180000
386,Books,Sapiens: A Brief History,1800
387,Books,The Mountain Is You by Brianna Wiest,1800
388,Books,The Courage to Be Disliked,1500
389,Home & Kitchen,Havells Premium Ceiling Fan,11000
390,Clothing,Nike Air Force 1 Sneakers,15000
391,Home & Kitchen,Morphy Richards Multifunction Blender,18000
392,Electronics,DJI Air 2S Drone,175000
393,Beauty,Tom Ford Soleil Blanc Perfume,18000
394,Beauty,Dior Sauvage Eau de Parfum,18000
395,Clothing,The North Face Apex Flex GTX Jacket,42000
396,Beauty,Kiehl's Ultra Facial Cream,4200
397,Clothing,Tom Ford Leather Gloves,45000
398,Clothing,Adidas Superstar Sneakers,18000
399,Sports,Bowflex SelectTech Adjustable Kettlebell,55000
400,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,1800
401,Books,The Paradox of Choice by Barry Schwartz,1700
402,Beauty,Laneige Water Sleeping Mask,3200
403,Sports,Under Armour Training Shoes,13500
404,Clothing,Calvin Klein Trench Coat,55000
405,Beauty,The Ordinary Niacinamide 10% Serum,4500
406,Home & Kitchen,Bosch Cordless Handheld Vacuum Cleaner,55000
407,Electronics,Canon EOS R6 Mirrorless Camera,320000
408,Sports,Yonex Astrox 88D Pro Badminton Racket,25000
409,Books,Deep Work by Cal Newport,2100
410,Home & Kitchen,Panasonic 27L Inverter Microwave Oven,70000
411,Beauty,MAC Compact Powder,4000
412,Books,Becoming by Michelle Obama,1700
413,Electronics,Google Nest Hub Max,40000
414,Clothing,Columbia Waterproof Hiking Pants,14000
415,Books,Principles by Ray Dalio,2600
416,Beauty,Olaplex No. 7 Bonding Oil,5000
417,Beauty,Estee Lauder Advanced Night Repair Serum,18000
418,Home & Kitchen,Bosch 14-Place Smart Dishwasher,160000
419,Electronics,Samsung Galaxy Tab S8,140000
420,Home & Kitchen,LG Double Door Refrigerator,120000
421,Beauty,Drunk Elephant C-Firma Vitamin C Serum,12500
422,Clothing,Adidas X Speedflow Soccer Cleats,18000
423,Beauty,Tatcha The Silk Peony Eye Cream,10000
424,Beauty,SK-II Facial Treatment Essence,14000
425,Electronics,Bose QuietComfort Earbuds,38000
426,Beauty,CHANEL Bleu de Chanel Eau de Parfum,19000
427,Sports,Nike Pro Combat Compression Leggings,10000
428,Books,Deep Work by Cal Newport,1600
429,Sports,Decathlon 3-Person Waterproof Camping Tent,45000
430,Books,Deep Work by Cal Newport,1900
431,Clothing,Adidas X Speedflow Soccer Cleats,18000
432,Books,Zero to One by Peter Thiel,2600
433,Home & Kitchen,Whirlpool Water Purifier,22000
434,Sports,Bowflex SelectTech Adjustable Dumbbells,60000
435,Beauty,Giorgio Armani Code Homme Parfum,17000
436,Electronics,Samsung Galaxy Tab S9 Ultra,230000
437,Clothing,Balmain Graphic T-shirt,48000
438,Beauty,Dior Lip Glow Oil,7500
439,Beauty,L’Oreal Foundation,2500
440,Home & Kitchen,Morphy Richards Coffee Grinder,18000
441,Books,The Intelligent Investor by Benjamin Graham,2500
442,Electronics,Nikon D7500,135000
443,Sports,Decathlon 4-Person Camping Tent,42000
444,Electronics,Beats Fit Pro True Wireless Earbuds,38000
445,Sports,Callaway Golf Club Set,75000
446,Electronics,DJI Osmo Pocket 3,70000
447,Electronics,Garmin Forerunner 945,70000
448,Clothing,Burberry Vintage Check Shirt,75000
449,Books,Can’t Hurt Me by David Goggins,1900
450,Beauty,Glossier Milky Jelly Cleanser,4500
451,Home & Kitchen,Prestige Pressure Cooker,7000
452,Sports,RDX Weightlifting Belt,9000
453,Clothing,Nike Dunk Low Retro Sneakers,18000
454,Home & Kitchen,Ninja Foodi 10-in-1 Air Fryer & Grill,65000
455,Electronics,DJI Mini 3 Drone,120000
456,Clothing,Calvin Klein Trench Coat,35000
457,Clothing,Calvin Klein Trench Coat,55000
458,Sports,Everlast Boxing Gloves,6000
459,Clothing,Reebok Nano X3 Training Shoes,17000
460,Clothing,New Balance 327 Running Shoes,15000
461,Home & Kitchen,Bosch Hand Blender 750W,10000
462,Sports,Decathlon 3-Person Waterproof Camping Tent,45000
463,Books,The Psychology of Money by Morgan Housel,2000
464,Home & Kitchen,Morphy Richards Multifunction Blender,18000
465,Sports,Spalding TF-1000 Legacy Basketball,8000
466,Clothing,Nike Dri-FIT Training Hoodie,12000
467,Clothing,Columbia Omni-Heat Insulated Jacket,28000
468,Beauty,Tatcha The Silk Peony Eye Cream,10000
469,Electronics,Apple Watch Ultra,150000
470,Electronics,Samsung Galaxy S24 Ultra,250000
471,Books,The Psychology of Money by Morgan Housel,1800
472,Clothing,Puma RS-X Bold Sneakers,14000
473,Clothing,Patagonia Torrentshell Rain Jacket,28000
474,Beauty,Estee Lauder Night Repair Serum,12000
475,Books,Principles by Ray Dalio,2600
476,Electronics,Fujifilm X-T30,135000
477,Electronics,Samsung Galaxy S24 Ultra,250000
478,Electronics,Google Pixel Tablet,125000
479,Electronics,ASUS ProArt 32” 4K HDR Monitor,180000
480,Books,The Art of Seduction by Robert Greene,2500
481,Clothing,Gucci Ace Embroidered Sneakers,115000
482,Sports,Puma Cricket Bat,11000
483,Beauty,Charlotte Tilbury Foundation,5000
484,Sports,Reebok Resistance Band Set,8000
485,Home & Kitchen,Panasonic Bread Maker,35000
486,Home & Kitchen,Sharp Rice Cooker,5000
487,Electronics,DJI Mini 3 Drone,120000
488,Electronics,Canon EOS R6 Mirrorless Camera,320000
489,Home & Kitchen,Xiaomi Smart Home Hub,30000
490,Beauty,Sunday Riley Good Genes Serum,13500
491,Home & Kitchen,Panasonic Bread Maker,35000
492,Beauty,Estee Lauder Revitalizing Supreme+ Cream,14000
493,Books,Why We Sleep by Matthew Walker,2300
494,Books,The Daily Stoic by Ryan Holiday,2000
495,Beauty,YSL Black Opium Perfume,16000
496,Sports,Wilson NCAA Basketball,6000
497,Beauty,Huda Beauty Faux Filter Concealer,6000
498,Home & Kitchen,Eureka Forbes Water Purifier,60000
499,Beauty,Charlotte Tilbury Airbrush Flawless Foundation,8500
500,Electronics,Corsair iCUE 7000X RGB Full-Tower Case,65000
501,Books,The Almanack of Naval Ravikant,2100
502,Electronics,Apple AirPods Max,95000
503,Sports,Spalding TF-1000 Legacy Basketball,9000
504,Beauty,Tatcha The Essence,15000
505,Books,Limitless by Jim Kwik,2100
506,Electronics,Google Nest WiFi Pro Router,50000
507,Clothing,Calvin Klein Trench Coat,55000
508,Electronics,Asus ROG Strix G15,210000
509,Sports,Under Armour Project Rock Training Shoes,25000
510,Sports,Everlast Boxing Gloves,6000
511,Sports,Spalding NBA Official Game Basketball,12000
512,Clothing,The North Face Puffer Jacket,32000
513,Beauty,Lancome Advanced Genifique Serum,11000
514,Beauty,Kérastase Nutritive Bain Satin Shampoo,6000
515,Sports,Everlast Powerlock 2 Boxing Gloves,18000
516,Electronics,MSI Gaming Monitor 27-inch,65000
517,Clothing,Balenciaga Runner Sneakers,125000
518,Sports,Puma Cricket Bat,11000
519,Sports,Nike Gym Gloves,3500
520,Sports,Under Armour Project Rock Training Shoes,25000
